,0
умбал,59
излиза,59
йорданова,59
съдебен,59
контакт,59
моята,59
види,59
сигурност,59
информационния,59
оръжието,59
учителката,59
убития,59
събраните,59
сили,59
самоличността,59
нямаме,59
ходи,59
истината,59
софийския,59
разград,59
паднала,59
посочва,59
председателят,59
районният,58
нашата,58
процес,58
ситуацията,58
виолета,58
момиченцето,58
подават,58
същата,58
мрежа,58
едното,58
национална,58
насилникът,58
блока,58
живо,58
проблемите,58
налице,58
подаде,58
бюлетин,58
сериозни,58
сумата,57
електронната,57
тип,57
животът,57
каквото,57
бгнес,57
територията,57
пълни,57
метра,57
наказания,57
задържания,57
полицейска,57
неговото,57
помогнат,57
входа,57
българските,57
евгения,57
държавното,57
тодор,57
бсп,57
шофьор,57
посочват,57
приключи,57
градска,57
власти,57
вещи,57
всичките,57
насилниците,57
адреса,57
непълнолетни,57
деяние,57
цял,57
извършване,56
организация,56
хулигански,56
бърза,56
желание,56
определението,56
име,56
поясни,56
ученици,56
другия,56
закана,56
самият,56
проверката,56
получавате,56
катастрофа,56
абонирайте,56
мозъчна,56
румяна,56
ръст,56
дал,55
задържа,55
четвъртък,55
колегите,55
денят,55
бита,55
успя,55
самоубийство,55
кога,55
главният,55
протестиращите,55
наред,55
влиза,55
младежи,55
председател,54
програма,54
депутатите,54
съдействие,54
цветанов,54
степен,54
станали,54
ето,54
ръката,54
остана,54
малка,54
правителството,54
роднините,54
кома,54
понякога,54
националната,54
възникнал,54
поведението,54
направени,54
нашите,54
помага,54
оряховица,54
искал,54
свой,54
млади,54
ограничителна,54
безпомощно,54
някакви,54
атанас,53
припомняме,53
реакция,53
тримата,53
никола,53
моя,53
милена,53
общество,53
бие,53
потвърди,53
признат,53
събрание,53
условия,53
успява,53
деница,53
гърба,53
четирима,53
дарина,53
александров,53
подава,53
нейна,53
умира,53
единствено,53
техните,53
посегателство,53
кампанията,53
идеята,53
направена,53
вид,53
вика,53
бой,53
досъдебното,52
настаняване,52
причинил,52
надявам,52
процедура,52
стойчева,52
категорични,52
нарушения,52
отдел,52
здравето,52
фирма,52
производства,52
въпроса,52
жива,52
екипа,52
даже,52
намерени,52
извършена,52
софийският,52
потърси,52
трите,52
информацията,52
започне,52
трети,51
искаме,51
клиника,51
шанс,51
колкото,51
обвиняемата,51
сериозно,51
размер,51
дрехи,51
трупа,51
турция,51
временно,51
пол,51
събрани,51
седем,51
личния,51
настанени,51
софийски,51
какъв,51
лечебното,51
стават,51
косата,51
колеги,51
правна,51
проведе,51
участие,51
касае,51
обади,51
студиото,51
кампания,51
съсед,51
нападателите,51
човекът,50
нападнал,50
социална,50
източници,50
виктория,50
проф,50
чака,50
позиция,50
районния,50
определи,50
адрес,50
психическо,50
направила,50
маринов,50
образование,50
пуснат,50
освободен,50
назначена,50
потвърдиха,50
обяд,50
кирил,50
теб,50
неправителствени,50
веднъж,50
подали,50
нейния,50
орлин,50
периода,50
посока,50
поискаха,50
катастрофата,50
телефонна,50
личен,49
българската,49
гърдите,49
сигналите,49
основните,49
