CODE,NAME
06361,гр. Брезово
06375,с. Бреница
06389,с. Бреница
06392,с. Брест
06402,с. Брест
06416,с. Брестак
06421,с. Брестака
06433,с. Бресте
06447,с. Брестник
06450,с. Брестница
06464,с. Брестница
06478,с. Брестова
06481,с. Брестовене
06495,с. Брестовец
06505,с. Брестовица
06519,с. Брестовица
06522,с. Брестово
06536,с. Брестово
06547,с. Брод
06553,с. Бродилово
06567,с. Брош
06570,гр. Брусарци
06584,с. Брусевци
06598,с. Брусен
06608,с. Брусен
06625,с. Брусино
06639,с. Брусник
06642,с. Брънеците
06662,с. Бръчковци
06673,с. Бръшлен
06687,с. Бръшлян
06690,с. Бръшляница
06700,с. Бръщен
06728,с. Бряговец
06731,с. Бряговица
06745,с. Брягово
06759,с. Брягово
06762,с. Бряст
06776,с. Брястовец
06788,с. Брястово
06793,с. Брястово
06803,с. Брястово
06817,с. Бубино
06848,с. Бузовград
06851,с. Бузяковци
06865,с. Буйновица
06879,с. Буйново
06882,с. Буйново
06896,с. Буйновци
06906,с. Бук
06919,с. Букак
06923,с. Буката
06937,с. Букова поляна
06940,с. Буковец
06954,с. Буковец
06968,с. Буковец
06971,с. Буковец
06985,с. Буковец
06999,с. Буковлък
07003,с. Буково
07017,с. Буково
07020,с. Букоровци
07034,с. Булаир
07048,с. Буново
07051,с. Буново
07065,с. Бураново
07079,гр. Бургас
07082,с. Буря
07096,с. Бусинци
07106,с. Бусманци
07116,с. Бутан
07123,с. Бутово
07137,с. Бутроинци
07140,гр. Бухово
07154,с. Буховци
07168,с. Бучино
07171,с. Бучин проход
07185,с. Бучуковци
07199,с. Бъдеще
07209,с. Бъзовец
07212,с. Бъзовец
07226,с. Бъзовица
07231,с. Бъзън
07243,с. Българаново
07257,с. Българево
07260,с. Българене
07274,с. Българене
07288,с. Българене
07291,с. Българи
07315,с. Българин
07329,с. Българка
07332,гр. Българово
07346,с. Българска поляна
07357,с. Български извор
07363,с. Българско Сливово
07377,с. Българчево
07380,с. Бънзарето
07394,с. Бърдарево
07404,с. Бърдарите
07418,с. Бърдарски геран
07421,с. Бърдени
07435,с. Бърдо
07452,с. Бърдоква
07472,с. Бърза река
07497,с. Бързина
07507,с. Бързица
07510,с. Бързия
07524,с. Бъркач
07538,с. Бъркачево
07541,с. Бърложница
07555,с. Бърля
07569,с. Бърчево
07572,с. Бъта
07586,с. Бяга
07598,гр. Бяла
07603,гр. Бяла
07613,с. Бяла
07627,с. Бяла вода
07630,с. Бяла вода
07644,с. Бяла паланка
07658,с. Бяла поляна
07661,с. Бяла река
07675,с. Бяла река
07689,с. Бяла река
07692,с. Бяла река
07702,гр. Бяла Слатина
07716,гр. Бяла черква
07729,с. Бял бряг
07733,с. Бялградец
07747,с. Бял извор
07750,с. Бял извор
07764,с. Бялка
07778,с. Бял кладенец
07781,с. Бял кладенец
07795,с. Бялково
07805,с. Бялковци
07819,с. Бяло поле
07822,с. Бунцево
07836,с. Биркова
07853,с. Бозьова
07867,с. Бутрева
07870,с. Бор
07884,с. Бабинци
07908,с. Бойчета
07911,с. Бурево
07925,с. Богатино
07939,с. Брежана
