postal_code,location,manuplicity,admin_center
5662,БЕЛИ ОСЪМ,ТРОЯН,ЛОВЕЧ
6689,БЕЛИ ПЛАСТ,КЪРДЖАЛИ,КЪРДЖАЛИ
8316,БЕЛИЛА,СРЕДЕЦ,БУРГАС
3462,БЕЛИМЕЛ,ЧИПРОВЦИ,МОНТАНА
7432,БЕЛИНЦИ,ИСПЕРИХ,РАЗГРАД
2780,БЕЛИЦА,БЕЛИЦА,БЛАГОЕВГРАД
2062,БЕЛИЦА,ИХТИМАН,СОФИЯ
4242,БЕЛИЦА,ЛЪКИ,ПЛОВДИВ
6557,БЕЛИЦА,ЛЮБИМЕЦ,ХАСКОВО
5363,БЕЛИЦА,ТРЯВНА,ГАБРОВО
7648,БЕЛИЦА,ТУТРАКАН,СИЛИСТРА
5628,БЕЛИШ,ТРОЯН,ЛОВЕЧ
2709,БЕЛО ПОЛЕ,БЛАГОЕВГРАД,БЛАГОЕВГРАД
3961,БЕЛО ПОЛЕ,РУЖИНЦИ,ВИДИН
7321,БЕЛОВЕЦ,КУБРАТ,РАЗГРАД
4182,БЕЛОВИЦА,ХИСАРЯ,ПЛОВДИВ
4470,БЕЛОВО,БЕЛОВО,ПАЗАРДЖИК
9230,БЕЛОГРАДЕЦ,ВЕТРИНО,ВАРНА
3900,БЕЛОГРАДЧИК,БЕЛОГРАДЧИК,ВИДИН
8219,БЕЛОДОЛ,ПОМОРИЕ,БУРГАС
4130,БЕЛОЗЕМ,РАКОВСКИ,ПЛОВДИВ
9801,БЕЛОКОПИТОВО,ШУМЕН,ШУМЕН
7917,БЕЛОМОРЦИ,ОМУРТАГ,ТЪРГОВИЩЕ
5340,БЕЛОМЪЖИТЕ,ГАБРОВО,ГАБРОВО
6588,БЕЛОПОЛЦИ,ИВАЙЛОВГРАД,ХАСКОВО
6584,БЕЛОПОЛЯНЕ,ИВАЙЛОВГРАД,ХАСКОВО
2132,БЕЛОПОПЦИ,ГОРНА МАЛИНА,СОФИЯ
9178,БЕЛОСЛАВ,БЕЛОСЛАВ,ВАРНА
3499,БЕЛОТИНЦИ,МОНТАНА,МОНТАНА
7138,БЕЛЦОВ,ЦЕНОВО,РУСЕ
5035,БЕЛЧЕВЦИ,ВЕЛИКО ТЪРНОВО,ВЕЛИКО ТЪРНОВО
2025,БЕЛЧИН,САМОКОВ,СОФИЯ
2024,БЕЛЧИНСКИ БАНИ,САМОКОВ,СОФИЯ
2824,БЕЛЬОВО,САНДАНСКИ,БЛАГОЕВГРАД
5031,БЕЛЯКОВЕЦ,ВЕЛИКО ТЪРНОВО,ВЕЛИКО ТЪРНОВО
