,0
другите,33
бившия,33
двора,33
мисля,33
експертизи,33
окръжният,33
първият,33
конфликт,33
извършени,33
годината,33
чужбина,33
държава,33
останалите,32
психически,32
травма,32
арестуван,32
велизара,32
отговаря,32
думи,32
вследствие,32
съпруг,32
спомня,32
причините,32
втори,32
тежка,32
седмици,32
признава,32
реши,32
предвижда,32
мбал,32
нейното,32
стига,32
всъщност,32
помогне,32
многократно,32
зала,32
голям,32
прояви,32
някакъв,32
млади,32
включително,32
извършил,32
рамките,32
пресцентъра,32
малката,31
проблемът,31
екипът,31
излиза,31
удар,31
медиите,31
апелативен,31
министерство,31
петрова,31
цветанов,31
социални,31
дейност,31
категоричен,31
задържаният,31
всяко,31
средна,31
остават,31
види,31
поведение,31
абсолютно,31
кражби,31
общество,31
неизвестност,31
самоличността,31
понеделник,31
ред,31
наказателна,31
положение,31
причиняване,31
чувства,31
успяла,31
нейните,31
установени,31
бременна,31
разпитани,31
тежката,31
камерата,31
внимание,31
подобно,30
версии,30
укрие,30
тодор,30
комисар,30
приета,30
получила,30
криминални,30
уби,30
служител,30
лични,30
столичната,30
потърпевшата,30
правят,30
показания,30
окръжен,30
трафик,30
наказанието,30
истината,30
борислав,30
отговор,30
първия,30
председател,30
десислава,30
трябвало,30
видин,30
убие,30
режим,30
разследва,30
оказа,29
комисия,29
влиза,29
брак,29
стоянов,29
дрехи,29
медицински,29
парламента,29
продължение,29
представители,29
открит,29
служителите,29
градина,29
казах,29
макар,29
видеото,29
половина,29
подава,29
следствие,29
подпомагане,29
кирил,29
първото,29
превенция,29
живеел,29
следва,29
отказва,29
едната,29
категорично,29
агенцията,29
извършеното,29
голямата,28
тежки,28
шествие,28
върне,28
самата,28
ямбол,28
своите,28
бгнес,28
проблема,28
софийската,28
първоначално,28
изнасилване,28
районно,28
каква,28
съвсем,28
против,28
момчета,28
отговори,28
отива,28
видя,28
взел,28
оръжието,28
започват,28
целта,28
надя,28
ходи,28
избяга,28
германия,28
разказват,28
сте,28
европа,28
свои,28
разбира,28
ръководството,28
говорителят,28
повечето,28
психолог,28
хода,28
историята,28
учителката,28
конвенция,28
безпомощно,27
катя,27
починалата,27
ученици,27
добри,27
станала,27
напълно,27
незаконно,27
употреба,27
мотивите,27
ученичка,27
знаят,27
търсят,27
задържа,27
наистина,27
живеели,27
българския,27
пострадалото,27
заповеди,27
уточниха,27
петък,27
следващия,27
главният,27
човека,27
