,0
излиза,55
отговорност,55
виновен,54
искане,54
бта,54
спирка,54
извън,54
дърво,54
очите,54
анна,54
шест,54
детска,54
ситуация,54
всъщност,54
covid,54
сериозни,54
загинаха,54
издирването,53
единият,53
април,53
вода,53
коментар,53
линейката,53
получен,53
телесна,53
бившия,53
повдигнато,53
декември,53
убитата,53
настанено,52
местопроизшествието,52
научи,52
трите,52
любов,52
животът,52
наистина,52
протест,52
изпратени,52
положение,52
блъсната,52
голям,51
проф,51
случаите,51
всяко,51
имал,51
момиченцето,51
спомня,51
някаква,51
сума,51
оказа,51
младеж,51
мрежи,51
коли,51
апартамент,51
каква,51
вината,51
цел,51
обвинен,51
емил,51
мозъчна,51
първите,51
лично,51
кучето,51
скоро,50
малката,50
нападението,50
думи,50
добрич,50
пострадала,50
макар,50
чужбина,50
пътували,50
агенцията,50
лечението,50
средства,50
евро,49
тежкото,49
допълва,49
видял,49
колегите,49
борба,49
своята,49
жалба,49
плевен,49
начала,49
обществото,49
васил,49
тежката,49
наблюдение,49
разказват,49
пламен,49
даниела,49
заповед,49
зала,48
близкото,48
пациенти,48
подобни,48
проба,48
комисар,48
можем,48
успяла,48
подпомагане,48
добри,48
казал,48
чувства,48
отговор,48
историята,48
търново,48
обвиняемият,48
риск,48
изгаряния,48
хасково,47
извършителите,47
повод,47
пожарната,47
автомобилът,47
клас,47
кръв,47
грабеж,47
сумата,47
проблемът,47
трагедията,47
ръцете,47
очевидци,47
млади,47
първият,47
акция,46
призна,46
носи,46
тодоров,46
човека,46
първото,46
подава,46
куче,46
отива,46
групата,46
пистолет,46
откарани,46
нямам,46
жестоко,46
какви,46
търсят,46
вътре,46
валентин,46
велико,45
дейност,45
предаването,45
окръжен,45
комисия,45
причини,45
знаят,45
леки,45
дълго,45
годината,45
отдел,45
булевард,45
целия,45
кражби,45
паднала,45
признава,45
резултатите,45
четирима,45
вземат,45
започват,45
сте,45
заболяване,45
измама,45
нейното,44
нейната,44
голямо,44
намерени,44
предвижда,44
другият,44
влиза,44
действията,44
крак,44
убита,44
разследва,44
направил,44
трябваше,44
спре,44
пожара,44
първа,44
вика,44
роднини,44
пол,44
открит,44
десислава,43
произшествието,43
отказва,43
каквото,43
съпруг,43
дума,43
помага,43
психолог,43
някакъв,43
уточниха,43
симона,43
рамките,43
остават,43
коса,43
медицински,43
нейните,43
намерена,43
внимание,43
продължение,43
силно,43
обвинението,43
неговата,43
очи,43
самата,43
дроб,42
ранени,42
закон,42
социални,42
повечето,42
подчерта,42
транспорт,42
председател,42
поведение,42
платно,42
другото,42
наказанието,42
извършва,42
тепърва,42
падна,42
реанимация,42
кръвта,42
система,42
река,42
десетки,42
решава,42
районно,42
име,42
осъждан,42
храна,42
цветанов,42
детската,42
местните,41
възрастни,41
ани,41
операции,41
големи,41
деянието,41
калоян,41
промяна,41
акт,41
кръстовище,41
ударила,41
екипът,41
дрехи,41
линия,41
йордан,41
наред,41
загинали,41
институциите,41
ученичка,41
марина,41
история,41
теодора,41
стават,41
сериозно,41
сами,41
престъпления,41
даже,41
направила,41
отговаря,41
глоба,41
нарушения,40
съжаление,40
лични,40
приятелката,40
медиите,40
едното,40
служител,40
румяна,40
възможност,40
абсолютно,40
служба,40
стига,40
европа,40
тест,40
имали,40
петко,40
домашен,40
служителите,40
отиде,40
ямбол,40
държава,40
показват,40
етап,40
николова,40
самоличността,40
незабавно,40
следствие,40
министерство,40
семейства,40
пострадал,40
другия,40
гражданите,39
окръжният,39
извършител,39
проявен,39
напълно,39
тротоара,39
загиналата,39
тежък,39
вяра,39
обади,39
собственост,39
заявиха,39
клиниката,39
подобно,39
ходи,39
кмета,39
връща,39
помогне,39
институции,39
диана,39
лечебното,39
корема,39
наложи,39
ревност,39
върна,39
емилия,39
временно,39
първоначално,39
категорично,38
камерата,38
починало,38
физическо,38
показания,38
бърза,38
автобуса,38
явно,38
моята,38
органи,38
условията,38
присъди,38
самият,38
многократно,38
работници,38
обяд,38
включително,38
налага,38
акцията,38
карта,38
сигурност,38
категорични,38
отказаха,38
отрицателна,38
първоначална,38
важно,38
промила,38
кома,38
говорителят,38
аутопсия,38
мярката,38
втория,38
черепно,38
избягал,38
опита,37
монтана,37
конфликт,37
страни,37
обвинена,37
турция,37
живеела,37
данните,37
голямата,37
същата,37
момчета,37
автомобили,37
самопризнания,37
отделението,37
пътна,37
успява,37
съвсем,37
местната,37
пациент,37
тръгва,37
елена,37
ангел,37
причиняване,37
видя,37
единствено,37
бял,37
карал,37
изобщо,37
физически,37
потвърдиха,37
полицейска,37
договор,37
режим,36
половин,36
пострада,36
пътен,36
отбеляза,36
доживотен,36
огънят,36
умбал,36
рпу,36
трафик,36
заплахи,36
сграда,36
свои,36
петрова,36
ситуацията,36
извършени,36
влак,36
благодарение,36
четвъртък,36
ръката,36
настояват,36
нападната,36
средство,36
започнала,36
намери,36
помогнат,36
желание,36
фрактура,36
камион,36
въобще,36
сряда,36
ловеч,36
фондация,36
полицейско,36
управляван,36
размер,36
окръжна,36
психически,36
гимназия,36
киселина,36
одмвр,35
градския,35
подали,35
кмет,35
истината,35
книжка,35
никакъв,35
ваня,35
горна,35
осъден,35
градски,35
законът,35
операцията,35
задържаният,35
успели,35
грешка,35
изследвания,35
ученици,35
квартала,35
полунощ,35
рак,35
вещи,35
увреждания,35
входа,35
излязла,35
справедливост,35
пробата,35
махала,35
