,0
улицата,13
същия,13
четвърта,13
одмвр,13
процедура,13
иванка,13
стрелял,13
темата,13
проблема,13
върнат,13
трите,13
пушка,13
открили,13
момичетата,13
върне,13
учителката,13
голям,13
детска,13
неизвестност,13
анна,13
определението,13
имаше,13
времето,13
теми,13
следствени,13
васил,13
последната,13
намерени,13
лека,13
призна,13
малката,13
правят,13
хода,13
виктор,13
стойчева,13
помогнат,13
полунощ,13
повечето,13
конфликти,13
районно,13
градска,13
наистина,13
първоначално,13
втори,13
кампанията,12
шествието,12
подсъдимият,12
напълно,12
прободни,12
внесе,12
събраните,12
избяга,12
катя,12
свети,12
едното,12
стоянов,12
свой,12
разказаха,12
правата,12
добрич,12
полицейска,12
валентин,12
можеше,12
справедливост,12
финансиране,12
гърдите,12
категорично,12
криминалисти,12
обвинителния,12
осъден,12
идва,12
софийския,12
месеци,12
момчета,12
източници,12
дядо,12
четирима,12
ново,12
увеличават,12
организаторите,12
кризисния,12
студенти,12
мотивът,12
временно,12
мбал,12
първите,12
асоциация,12
сюлейманов,12
целта,12
тел,12
главният,12
успешно,12
събраха,12
форма,12
жесток,12
василев,12
оон,12
тервел,12
сили,12
среда,12
директора,12
парламента,12
движение,12
димитрова,12
избягал,12
убийства,12
показания,12
сестрата,12
присъствие,12
лични,12
сериозни,12
непълнолетни,12
разпитани,12
мирослава,12
кристиан,12
явно,12
шофьорът,12
търси,12
вземе,12
нямам,12
нейни,12
възрастни,12
вратата,12
готови,12
предлагат,12
юни,11
проблемът,11
човекът,11
корема,11
сдружение,11
единият,11
сами,11
подал,11
ценово,11
предприети,11
стигнало,11
обстоятелства,11
рана,11
адвокатите,11
нападателите,11
пациентката,11
кюстендил,11
седмици,11
заболяване,11
причиняване,11
нов,11
вземане,11
семейното,11
ботев,11
представители,11
степен,11
подсъдимия,11
насилници,11
земята,11
самоубил,11
наред,11
закон,11
виолета,11
нямаме,11
реанимация,11
трупът,11
протеста,11
христо,11
събрание,11
средства,11
потърсят,11
започнала,11
медицина,11
нападната,11
следобед,11
изследване,11
жителите,11
основните,11
викам,11
ковачева,11
проявен,11
младежи,11
фаредин,11
самоубие,11
йорданова,11
румяна,11
мост,11
провежда,11
скандали,11
конвенцията,11
малка,11
употреба,11
неща,11
добри,11
варненският,11
повдигнати,11
първа,11
орлов,11
лявата,11
помощта,11
доста,11
оказа,11
instagramследете,11
кръв,11
атанас,11
посочи,11
криминалистите,11
филипов,11
иво,11
подали,11
съвсем,11
стигна,11
тука,11
захариева,11
настанено,11
мартин,11
допълва,11
контрол,11
сила,11
отдел,11
университет,11
същата,11
малкото,11
обяви,11
комисия,11
кола,11
подобен,11
евстатиев,11
тонка,11
безпомощно,11
програма,11
всичките,11
район,11
рангелов,11
кого,10
пенсията,10
важно,10
общински,10
адвокатът,10
откриха,10
реджеп,10
болната,10
поискаха,10
оттогава,10
срокът,10
успява,10
ирина,10
текстове,10
ива,10
тежък,10
венцислав,10
отишла,10
извършване,10
поведението,10
получен,10
непотвърдена,10
борят,10
дъщерята,10
цял,10
студентката,10
мехмед,10
социални,10
налице,10
постоянна,10
дълго,10
казанлък,10
калинка,10
веселин,10
колеги,10
инициативата,10
регистрации,10
увреждания,10
впоследствие,10
съсед,10
физически,10
факти,10
доброволци,10
иззети,10
казала,10
празник,10
причинена,10
четене,10
стигне,10
кампания,10
основно,10
окръжния,10
създава,10
кога,10
разговор,10
второ,10
сигналите,10
зле,10
предаде,10
сексуално,10
вие,10
радослав,10
евгения,10
митева,10
казал,10
мариам,10
техните,10
редица,10
домовете,10
съседка,10
започват,10
лично,10
направени,10
клас,10
ръце,10
идеята,10
медици,10
бивш,10
бяла,10
адрес,10
алтернативи,10
служител,10
психологическа,10
следствие,10
намерили,10
против,10
разпит,10
вика,10
парк,10
никол,10
петрова,10
близка,10
съдебни,10
котките,10
вторник,10
система,10
системен,10
нямаше,10
мисля,10
вътре,10
положение,10
българските,10
гражданин,10
жалби,10
трябваше,10
чака,10
убие,10
процесуално,10
специализирани,10
емил,10
изпълнение,10
енчев,10
съдебен,10
съжаление,10
вероятната,10
задържаният,10
бях,10
сам,10
самите,10
извършването,10
обвиненият,10
геновева,10
надзор,10
умъртвил,10
опита,10
говорят,10
сандански,10
септември,10
предполага,10
колджиева,10
докаже,9
нападателя,9
абсолютно,9
местност,9
следва,9
станала,9
европа,9
акция,9
голямото,9
дал,9
хирургия,9
първото,9
разпити,9
момчетата,9
десет,9
студентите,9
нападна,9
специалистите,9
откарана,9
бих,9
назначена,9
установява,9
регистратурата,9
опитал,9
обвиняеми,9
наблюдаващ,9
малките,9
остават,9
вина,9
зонта,9
терзиев,9
разговори,9
борбата,9
евтимова,9
критично,9
някакво,9
ето,9
заплати,9
милен,9
видях,9
илиева,9
инстанция,9
изпратени,9
метрото,9
другият,9
оряховица,9
заплахи,9
признал,9
версиите,9
шията,9
искал,9
подчерта,9
каже,9
говорим,9
огледа,9
тръгна,9
студентка,9
подадени,9
тип,9
служба,9
пореден,9
общодържавно,9
основната,9
прострелял,9
подавала,9
изоставена,9
контакт,9
насилник,9
богровеца,9
наказания,9
днешното,9
отказват,9
пещера,9
останалите,9
колкото,9
мъртво,9
изчезнала,9
медиите,9
приемат,9
мечката,9
районното,9
напуснала,9
отговори,9
условия,9
районният,9
обявен,9
следващата,9
допълнително,9
направят,9
осъди,9
броят,9
мирослав,9
спешен,9
някакъв,9
гена,9
пола,9
обясниха,9
вместо,9
орлин,9
влезе,9
психично,9
мотив,9
живяла,9
тодоров,9
починало,9
българка,9
минало,9
свят,9
органи,9
обвиняемата,9
калоян,9
проверката,9
съществува,9
